TEAM,MATCH_UP,GAME_DATE,OUTCOME,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
OKC,OKC vs. PHI,44493,L,240,103,40,84,47.6,8,31,25.8,15,19,78.9,6,36,42,24,9,4,11,17,-12
OKC,OKC @ HOU,44491,L,240,91,34,91,37.4,14,43,32.6,9,16,56.3,8,31,39,22,9,4,19,21,-33
OKC,OKC @ UTA,44489,L,240,86,34,91,37.4,7,35,20,11,18,61.1,15,35,50,19,4,2,15,15,-21
ORL,ORL @ NYK,44517,,180,100,38,94,40.4,11,38,28.9,13,16,81.3,13,35,48,19,6,3,14,18,4
ORL,ORL @ ATL,44515,L,240,111,43,95,45.3,16,43,37.2,9,14,64.3,12,29,41,30,8,5,16,27,-18
ORL,ORL vs. WAS,44513,L,240,92,31,92,33.7,13,40,32.5,17,20,85,14,30,44,21,7,5,13,15,-12
ORL,ORL vs. BKN,44510,L,240,90,35,92,38,4,33,12.1,16,24,66.7,12,37,49,19,10,3,17,18,-33
ORL,ORL vs. UTA,44507,W,240,107,43,87,49.4,12,32,37.5,9,11,81.8,7,32,39,24,8,8,13,22,7
ORL,ORL vs. SAS,44505,L,240,89,35,89,39.3,12,41,29.3,7,10,70,7,36,43,23,9,12,18,13,-13
ORL,ORL vs. BOS,44503,L,240,79,27,84,32.1,9,43,20.9,16,20,80,8,38,46,15,8,1,15,20,-13
ORL,ORL @ MIN,44501,W,240,115,37,82,45.1,17,43,39.5,24,30,80,12,39,51,21,5,7,16,19,18
ORL,ORL @ DET,44499,L,240,103,38,87,43.7,16,32,50,11,15,73.3,12,34,46,21,5,6,18,21,-7
ORL,ORL @ TOR,44498,L,240,109,41,87,47.1,16,34,47.1,11,16,68.8,12,34,46,24,1,5,17,24,-1
ORL,ORL vs. CHA,44496,L,240,111,43,88,48.9,15,40,37.5,10,13,76.9,8,25,33,22,6,2,19,21,-9
